Altitude                 Rho                      Temperture               Pressure                 SpeedOfSound             
339.000000               1.266973                 290.340110               105537.076663            341.553299               
340.000000               1.267094                 290.346600               105549.476579            341.557117               
341.000000               1.267214                 290.353090               105561.877674            341.560934               
342.000000               1.267335                 290.359580               105574.279949            341.564751               
343.000000               1.267456                 290.366070               105586.683404            341.568568               
344.000000               1.267576                 290.372560               105599.088039            341.572386               
345.000000               1.267697                 290.379050               105611.493855            341.576203               
346.000000               1.267817                 290.385540               105623.900850            341.580020               
347.000000               1.267938                 290.392030               105636.309025            341.583837               
348.000000               1.268058                 290.398520               105648.718381            341.587654               
349.000000               1.268179                 290.405010               105661.128917            341.591471               
350.000000               1.268300                 290.411500               105673.540634            341.595288               
351.000000               1.268420                 290.417990               105685.953531            341.599105               
352.000000               1.268541                 290.424480               105698.367608            341.602922               
353.000000               1.268662                 290.430970               105710.782867            341.606738               
354.000000               1.268782                 290.437460               105723.199306            341.610555               
355.000000               1.268903                 290.443950               105735.616926            341.614372               
356.000000               1.269024                 290.450440               105748.035727            341.618189               
